order_line_id,order_id,product_id,quantity,unit_price,line_ts
L20260211-0000001,O20260211-000001,P00051,1,88.95,2026-02-07T12:29:34
L20260211-0000002,O20260211-000001,P00084,1,90.61,2026-02-06T16:56:31
L20260211-0000003,O20260211-000002,P00013,2,90.80,2026-02-06T10:26:02
L20260211-0000004,O20260211-000002,P00073,1,35.38,2026-02-07T17:59:37
L20260211-0000005,O20260211-000002,P00075,2,144.44,2026-02-08T10:14:24
L20260211-0000006,O20260211-000002,P00073,1,35.38,2026-02-06T08:48:52
L20260211-0000007,O20260211-000003,P00093,2,184.63,2026-02-06T05:08:46
L20260211-0000008,O20260211-000003,P00070,2,82.95,2026-02-11T16:02:53
L20260211-0000009,O20260211-000003,P00109,1,202.31,2026-02-05T04:53:40
L20260211-0000010,O20260211-000003,P00030,1,214.54,2026-02-08T16:29:23
L20260211-0000011,O20260211-000004,P00080,3,72.41,2026-02-11T00:34:35
L20260211-0000012,O20260211-000005,P00002,1,112.31,2026-02-07T00:32:52
L20260211-0000013,O20260211-000005,P00090,2,34.54,2026-02-10T16:09:15
L20260211-0000014,O20260211-000005,P00025,3,138.71,2026-02-06T08:50:25
L20260211-0000015,O20260211-000005,P00011,1,51.47,2026-02-08T22:14:19
L20260211-0000016,O20260211-000006,P00084,1,90.61,2026-02-05T12:35:30
L20260211-0000017,O20260211-000007,P00082,1,141.76,2026-02-04T13:41:50
L20260211-0000018,O20260211-000008,P00073,1,35.38,2026-02-08T06:57:55
L20260211-0000019,O20260211-000008,P00089,3,221.76,2026-02-11T02:43:59
L20260211-0000020,O20260211-000008,P00036,3,314.75,2026-02-09T10:01:13
L20260211-0000021,O20260211-000009,P00097,2,166.80,2026-02-09T18:15:36
L20260211-0000022,O20260211-000009,P00107,2,155.56,2026-02-05T23:08:50
L20260211-0000023,O20260211-000010,P00065,1,137.52,2026-02-05T07:53:04
L20260211-0000024,O20260211-000011,P00078,3,203.66,2026-02-06T00:40:17
L20260211-0000025,O20260211-000011,P00101,2,276.64,2026-02-06T17:24:27
L20260211-0000026,O20260211-000011,P00024,3,218.72,2026-02-07T07:45:04
L20260211-0000027,O20260211-000012,P00035,1,122.53,2026-02-05T10:23:06
L20260211-0000028,O20260211-000013,P00001,1,124.15,2026-02-07T03:08:05
L20260211-0000029,O20260211-000014,P00056,2,179.45,2026-02-05T03:01:05
L20260211-0000030,O20260211-000014,P00046,3,153.99,2026-02-06T12:00:18
L20260211-0000031,O20260211-000015,P00050,1,15.11,2026-02-09T21:24:10
L20260211-0000032,O20260211-000015,P00018,1,7.46,2026-02-04T04:04:10
L20260211-0000033,O20260211-000015,P00056,1,179.45,2026-02-04T02:23:16
L20260211-0000034,O20260211-000015,P00032,2,78.43,2026-02-08T14:06:08
L20260211-0000035,O20260211-000016,P00001,2,124.15,2026-02-05T10:28:21
L20260211-0000036,O20260211-000016,P00056,3,179.45,2026-02-06T19:44:12
L20260211-0000037,O20260211-000016,P00062,1,71.15,2026-02-06T09:47:44
L20260211-0000038,O20260211-000017,P00074,1,101.93,2026-02-07T12:23:07
L20260211-0000039,O20260211-000017,P00120,3,94.97,2026-02-09T21:49:35
L20260211-0000040,O20260211-000017,P00004,2,182.76,2026-02-07T22:04:52
L20260211-0000041,O20260211-000017,P00109,2,202.31,2026-02-07T07:16:42
L20260211-0000042,O20260211-000018,P00092,2,168.91,2026-02-04T19:30:37
L20260211-0000043,O20260211-000018,P00052,3,257.89,2026-02-11T11:44:57
L20260211-0000044,O20260211-000019,P00014,1,22.31,2026-02-11T18:41:43
L20260211-0000045,O20260211-000020,P00097,1,166.80,2026-02-11T03:16:14
L20260211-0000046,O20260211-000020,P00066,3,10.75,2026-02-08T14:23:25
L20260211-0000047,O20260211-000020,P00060,3,274.02,2026-02-06T00:30:06
L20260211-0000048,O20260211-000020,P00038,2,122.02,2026-02-09T11:19:21
L20260211-0000049,O20260211-000021,P00101,1,276.64,2026-02-06T15:06:28
L20260211-0000050,O20260211-000021,P00093,2,184.63,2026-02-07T01:51:45
L20260211-0000051,O20260211-000021,P00015,1,114.30,2026-02-09T23:15:33
L20260211-0000052,O20260211-000021,P00023,3,170.56,2026-02-05T14:14:51
L20260211-0000053,O20260211-000022,P00081,1,102.43,2026-02-05T00:47:39
L20260211-0000054,O20260211-000022,P00114,1,246.88,2026-02-05T12:00:45
L20260211-0000055,O20260211-000022,P00028,1,263.53,2026-02-10T17:11:23
L20260211-0000056,O20260211-000022,P00042,1,93.45,2026-02-07T21:55:31
L20260211-0000057,O20260211-000023,P00077,2,157.08,2026-02-10T11:22:54
L20260211-0000058,O20260211-000023,P00059,3,6.15,2026-02-10T21:08:20
L20260211-0000059,O20260211-000023,P00016,1,230.65,2026-02-09T11:44:09
L20260211-0000060,O20260211-000024,P00054,3,190.10,2026-02-05T13:11:31
L20260211-0000061,O20260211-000024,P00082,3,141.76,2026-02-09T15:18:08
L20260211-0000062,O20260211-000024,P00024,1,218.72,2026-02-11T11:00:31
L20260211-0000063,O20260211-000024,P00018,1,7.46,2026-02-04T13:43:31
L20260211-0000064,O20260211-000025,P00091,2,176.65,2026-02-10T18:01:50
L20260211-0000065,O20260211-000025,P00098,1,27.94,2026-02-07T07:34:18
L20260211-0000066,O20260211-000025,P00022,2,70.70,2026-02-10T18:07:17
L20260211-0000067,O20260211-000025,P00100,3,132.98,2026-02-11T23:28:34
L20260211-0000068,O20260211-000026,P00055,1,102.20,2026-02-11T14:16:22
L20260211-0000069,O20260211-000026,P00111,1,155.49,2026-02-08T06:51:47
L20260211-0000070,O20260211-000027,P00111,3,155.49,2026-02-09T06:52:13
L20260211-0000071,O20260211-000027,P00104,1,71.48,2026-02-07T19:34:10
L20260211-0000072,O20260211-000027,P00042,1,93.45,2026-02-07T16:57:43
L20260211-0000073,O20260211-000028,P00018,2,7.46,2026-02-09T22:55:08
L20260211-0000074,O20260211-000029,P00019,1,267.61,2026-02-04T04:36:40
L20260211-0000075,O20260211-000029,P00035,2,122.53,2026-02-10T20:50:56
L20260211-0000076,O20260211-000030,P00052,3,257.89,2026-02-04T15:20:37
L20260211-0000077,O20260211-000031,P00112,1,208.38,2026-02-10T17:25:13
L20260211-0000078,O20260211-000032,P00106,1,154.38,2026-02-06T09:21:35
L20260211-0000079,O20260211-000032,P00074,1,101.93,2026-02-06T21:48:03
L20260211-0000080,O20260211-000032,P00006,1,30.11,2026-02-10T05:28:29
L20260211-0000081,O20260211-000032,P00001,2,124.15,2026-02-07T05:55:59
L20260211-0000082,O20260211-000033,P00012,1,60.77,2026-02-06T21:57:41
L20260211-0000083,O20260211-000033,P00022,1,70.70,2026-02-08T13:41:05
L20260211-0000084,O20260211-000033,P00091,1,176.65,2026-02-04T02:08:37
L20260211-0000085,O20260211-000034,P00067,2,109.86,2026-02-06T03:55:27
L20260211-0000086,O20260211-000034,P00089,1,221.76,2026-02-08T12:05:46
L20260211-0000087,O20260211-000035,P00014,1,22.31,2026-02-09T12:49:52
L20260211-0000088,O20260211-000036,P00083,1,60.39,2026-02-11T19:41:10
L20260211-0000089,O20260211-000036,P00057,1,50.52,2026-02-05T19:43:28
L20260211-0000090,O20260211-000037,P00012,1,60.77,2026-02-05T11:27:20
L20260211-0000091,O20260211-000037,P00102,1,104.40,2026-02-10T07:35:38
L20260211-0000092,O20260211-000038,P00100,1,132.98,2026-02-08T23:25:18
L20260211-0000093,O20260211-000038,P00083,1,60.39,2026-02-05T03:15:31
L20260211-0000094,O20260211-000038,P00082,3,141.76,2026-02-11T11:59:20
L20260211-0000095,O20260211-000039,P00050,3,15.11,2026-02-09T15:49:04
L20260211-0000096,O20260211-000039,P00003,3,137.80,2026-02-07T06:02:59
L20260211-0000097,O20260211-000040,P00102,2,104.40,2026-02-05T13:44:25
L20260211-0000098,O20260211-000041,P00082,3,141.76,2026-02-09T08:05:19
L20260211-0000099,O20260211-000042,P00066,1,10.75,2026-02-06T12:37:40
L20260211-0000100,O20260211-000043,P00040,2,69.60,2026-02-08T02:59:27
L20260211-0000101,O20260211-000044,P00059,3,6.15,2026-02-07T21:47:42
L20260211-0000102,O20260211-000045,P00016,1,230.65,2026-02-09T15:22:33
L20260211-0000103,O20260211-000045,P00067,1,109.86,2026-02-09T23:49:55
L20260211-0000104,O20260211-000046,P00094,1,184.89,2026-02-05T08:33:04
L20260211-0000105,O20260211-000046,P00034,3,159.22,2026-02-04T16:23:03
L20260211-0000106,O20260211-000046,P00064,3,62.69,2026-02-09T08:49:06
L20260211-0000107,O20260211-000047,P00030,3,214.54,2026-02-11T07:02:30
L20260211-0000108,O20260211-000048,P00050,1,15.11,2026-02-05T07:20:15
L20260211-0000109,O20260211-000048,P00054,1,190.10,2026-02-06T03:32:43
L20260211-0000110,O20260211-000048,P00116,1,120.21,2026-02-11T12:04:56
L20260211-0000111,O20260211-000049,P00111,1,155.49,2026-02-10T17:29:00
L20260211-0000112,O20260211-000049,P00048,1,71.42,2026-02-07T23:39:15
L20260211-0000113,O20260211-000049,P00060,1,274.02,2026-02-08T23:57:34
L20260211-0000114,O20260211-000049,P00098,1,27.94,2026-02-05T00:14:34
L20260211-0000115,O20260211-000050,P00082,1,141.76,2026-02-05T23:46:19
L20260211-0000116,O20260211-000050,P00014,1,22.31,2026-02-05T15:03:09
L20260211-0000117,O20260211-000050,P00092,1,168.91,2026-02-08T16:26:44
L20260211-0000118,O20260211-000051,P00059,1,6.15,2026-02-09T20:52:25
L20260211-0000119,O20260211-000051,P00010,3,171.97,2026-02-05T21:08:15
L20260211-0000120,O20260211-000051,P00038,1,122.02,2026-02-06T10:28:17
L20260211-0000121,O20260211-000052,P00010,1,171.97,2026-02-10T04:06:10
L20260211-0000122,O20260211-000052,P00058,2,103.09,2026-02-10T17:22:49
L20260211-0000123,O20260211-000053,P00058,1,103.09,2026-02-10T02:10:51
L20260211-0000124,O20260211-000053,P00088,1,237.21,2026-02-08T10:09:05
L20260211-0000125,O20260211-000054,P00046,2,153.99,2026-02-07T08:52:11
L20260211-0000126,O20260211-000054,P00004,2,182.76,2026-02-08T03:29:06
L20260211-0000127,O20260211-000055,P00016,1,230.65,2026-02-09T06:52:25
L20260211-0000128,O20260211-000055,P00048,1,71.42,2026-02-07T02:01:04
L20260211-0000129,O20260211-000056,P00116,2,120.21,2026-02-06T03:02:29
