refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_status
R20260211-0000001,L20260211-0000008,O20260211-000003,2026-02-08T17:27:54,45.51,approved
R20260211-0000002,L20260211-0000025,O20260211-000011,2026-02-04T20:06:28,450.46,pending
R20260211-0000003,L20260211-0000030,O20260211-000014,2026-02-01T19:12:36,56.89,rejected
R20260211-0000004,L20260211-0000049,O20260211-000021,2026-02-08T10:20:41,45.65,rejected
R20260211-0000005,L20260211-0000060,O20260211-000024,2026-02-01T08:47:44,415.32,approved
R20260211-0000006,L20260211-0000063,O20260211-000024,2026-02-03T01:01:49,6.68,rejected
R20260211-0000007,L20260211-0000065,O20260211-000025,2026-02-09T02:41:59,8.07,pending
R20260211-0000008,L20260211-0000072,O20260211-000027,2026-02-06T15:29:55,33.99,pending
R20260211-0000009,L20260211-0000087,O20260211-000035,2026-02-05T08:09:19,7.56,approved
R20260211-0000010,L20260211-0000110,O20260211-000048,2026-02-03T19:51:44,75.54,pending
R20260211-0000011,L20260211-0000115,O20260211-000050,2026-02-10T20:29:39,20.23,pending
R20260211-0000012,L20260211-0000121,O20260211-000052,2026-02-07T08:08:45,167.24,rejected
R20260211-0000013,L20260211-0000122,O20260211-000052,2026-02-11T15:13:21,19.51,pending
R20260211-0000014,L20260211-0000127,O20260211-000055,2026-02-09T01:17:49,19.42,approved
R20260211-0000015,L20260211-0000133,O20260211-000057,2026-02-08T12:49:28,267.64,rejected
R20260211-0000016,L20260211-0000137,O20260211-000058,2026-02-08T15:24:43,460.04,pending
R20260211-0000017,L20260211-0000146,O20260211-000062,2026-02-10T07:40:27,239.61,approved
R20260211-0000018,L20260211-0000151,O20260211-000064,2026-02-04T22:38:09,5.29,approved
R20260211-0000019,L20260211-0000158,O20260211-000066,2026-02-09T22:34:50,11.24,approved
R20260211-0000020,L20260211-0000166,O20260211-000068,2026-02-09T08:57:02,20.07,rejected
R20260211-0000021,L20260211-0000178,O20260211-000071,2026-02-07T08:34:23,8.55,approved
R20260211-0000022,L20260211-0000187,O20260211-000074,2026-02-05T06:33:43,247.56,rejected
R20260211-0000023,L20260211-0000192,O20260211-000076,2026-02-11T04:11:55,124.63,approved
R20260211-0000024,L20260211-0000195,O20260211-000077,2026-02-05T21:31:33,156.73,rejected
R20260211-0000025,L20260211-0000197,O20260211-000078,2026-02-10T00:59:58,157.85,rejected
R20260211-0000026,L20260211-0000200,O20260211-000079,2026-02-11T11:35:47,39.20,pending
R20260211-0000027,L20260211-0000202,O20260211-000080,2026-02-03T01:46:04,257.50,approved
R20260211-0000028,L20260211-0000205,O20260211-000082,2026-02-03T12:12:12,180.34,rejected
R20260211-0000029,L20260211-0000250,O20260211-000100,2026-02-07T17:32:35,468.93,rejected
R20260211-0000030,L20260211-0000252,O20260211-000101,2026-02-09T08:23:56,180.87,approved
R20260211-0000031,L20260211-0000255,O20260211-000102,2026-02-08T23:04:46,148.53,pending
R20260211-0000032,L20260211-0000265,O20260211-000105,2026-02-06T11:56:52,9.73,pending
R20260211-0000033,L20260211-0000274,O20260211-000109,2026-02-06T17:36:09,54.19,rejected
R20260211-0000034,L20260211-0000282,O20260211-000112,2026-02-05T04:08:21,135.85,pending
R20260211-0000035,L20260211-0000284,O20260211-000113,2026-02-10T12:32:27,126.01,approved
R20260211-0000036,L20260211-0000315,O20260211-000123,2026-02-08T19:59:09,428.14,approved
R20260211-0000037,L20260211-0000334,O20260211-000132,2026-02-02T08:03:29,26.94,approved
R20260211-0000038,L20260211-0000340,O20260211-000125,2026-02-01T12:14:24,30.09,rejected
R20260211-0000039,L20260211-0000341,O20260211-000128,2026-02-02T17:05:11,11.58,rejected
R20260211-0000040,L20260211-0000345,O20260211-000133,2026-02-07T10:31:25,160.19,approved
R20260211-0000041,L20260211-0000091,O20260211-000037,2026-02-07T07:09:21,58.38,rejected
R20260211-0000028,L20260211-0000205,O20260211-000082,2026-02-03T12:12:12,180.34,rejected
R20260211-0000036,L20260211-0000315,O20260211-000123,2026-02-08T19:59:09,428.14,approved
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
