order_id,customer_id,order_ts,country,currency,payment_method,order_status
O20260213-000335,C034780,2026-02-13T19:53:13,SE,SEK,paypal,delivered
O20260213-000336,C028944,2026-02-10T22:50:16,FR,EUR,card,paid
O20260213-000337,C023966,2026-02-10T21:22:46,US,USD,gift_card,cancelled
O20260213-000338,C025065,2026-02-11T05:59:47,DE,EUR,card,shipped
O20260213-000339,C012773,2026-02-13T18:19:21,FR,EUR,card,cancelled
O20260213-000340,C039766,2026-02-11T01:41:17,US,USD,gift_card,shipped
O20260213-000341,C003751,2026-02-09T00:55:45,SE,SEK,gift_card,paid
O20260213-000342,C035756,2026-02-13T01:23:01,NL,EUR,paypal,placed
O20260213-000343,C007827,2026-02-13T14:40:45,NL,EUR,card,cancelled
O20260213-000344,C012726,2026-02-08T19:47:01,SE,SEK,klarna,cancelled
O20260213-000345,C024003,2026-02-09T00:42:25,GB,GBP,gift_card,paid
O20260213-000346,C009668,2026-02-08T08:05:11,FR,EUR,gift_card,cancelled
O20260213-000347,C033127,2026-02-10T05:40:47,DE,EUR,card,cancelled
O20260213-000348,C007715,2026-02-11T14:36:53,SE,SEK,card,placed
O20260213-000349,C011961,2026-02-08T02:11:20,US,USD,card,paid
O20260213-000350,C024546,2026-02-10T02:56:46,GB,GBP,paypal,paid
O20260213-000351,C003496,2026-02-10T22:18:11,SE,SEK,klarna,shipped
O20260213-000352,C014809,2026-02-12T08:56:12,NL,EUR,paypal,delivered
O20260213-000353,C006057,2026-02-10T11:37:23,SE,SEK,klarna,placed
O20260213-000354,C025276,2026-02-12T17:36:13,FR,EUR,gift_card,paid
O20260213-000355,C033015,2026-02-09T23:50:17,SE,SEK,card,paid
O20260213-000356,C017095,2026-02-13T03:33:42,NL,EUR,paypal,delivered
O20260213-000357,C021168,2026-02-11T18:24:42,FR,EUR,card,shipped
O20260213-000358,C010404,2026-02-10T15:21:21,US,USD,card,shipped
O20260213-000359,C030595,2026-02-09T05:48:01,DE,EUR,gift_card,cancelled
O20260213-000360,C028507,2026-02-08T12:30:53,GB,GBP,paypal,cancelled
O20260213-000361,C031625,2026-02-08T12:19:02,SE,SEK,paypal,delivered
O20260213-000362,C037847,2026-02-10T18:01:10,SE,SEK,paypal,cancelled
O20260213-000363,C037224,2026-02-12T04:42:21,DE,EUR,card,paid
O20260213-000364,C030063,2026-02-10T05:29:00,SE,SEK,paypal,shipped
O20260213-000365,C005268,2026-02-12T07:54:13,SE,SEK,gift_card,paid
O20260213-000366,C036396,2026-02-11T00:30:10,GB,GBP,klarna,cancelled
O20260213-000367,C025825,2026-02-08T06:58:30,GB,GBP,gift_card,placed
O20260213-000368,C008422,2026-02-11T04:25:49,NL,EUR,klarna,cancelled
O20260213-000369,C035004,2026-02-13T11:31:42,NL,EUR,card,paid
O20260213-000370,C024192,2026-02-11T10:32:52,DE,EUR,card,paid
O20260213-000371,C032765,2026-02-12T01:13:19,DE,EUR,gift_card,delivered
O20260213-000372,C011789,2026-02-10T04:18:19,GB,GBP,gift_card,shipped
O20260213-000373,C011765,2026-02-12T12:43:33,NL,EUR,card,shipped
O20260213-000374,C006646,2026-02-08T12:51:51,GB,GBP,card,paid
O20260213-000375,C033225,2026-02-10T21:29:00,FR,EUR,gift_card,placed
O20260213-000376,C027852,2026-02-11T23:40:07,SE,SEK,gift_card,shipped
O20260213-000377,C023912,2026-02-13T05:27:34,FR,EUR,gift_card,placed
O20260213-000378,C038677,2026-02-11T06:32:52,SE,SEK,gift_card,delivered
O20260213-000379,C002612,2026-02-13T15:29:23,SE,SEK,card,delivered
O20260213-000380,C019409,2026-02-13T17:17:11,SE,SEK,klarna,placed
O20260213-000381,C021276,2026-02-11T20:02:38,NL,EUR,card,cancelled
O20260213-000382,C025967,2026-02-12T05:05:34,GB,GBP,card,delivered
O20260213-000383,C018003,2026-02-11T14:44:39,NL,EUR,paypal,placed
O20260213-000384,C024432,2026-02-13T04:38:46,SE,SEK,card,placed
O20260213-000385,C019791,2026-02-10T12:01:11,SE,SEK,klarna,placed
O20260213-000386,C037415,2026-02-11T09:39:32,DE,EUR,paypal,cancelled
O20260213-000387,C014104,2026-02-10T08:47:44,NL,EUR,paypal,placed
O20260213-000388,C026128,2026-02-12T21:18:17,FR,EUR,card,placed
O20260213-000389,C008505,2026-02-11T08:29:38,NL,EUR,klarna,paid
O20260213-000390,C021274,2026-02-12T02:39:18,US,USD,gift_card,shipped
O20260213-000391,C025497,2026-02-10T17:00:21,FR,EUR,klarna,delivered
O20260213-000392,C030275,2026-02-08T15:13:34,DE,EUR,paypal,delivered
O20260213-000393,C037442,2026-02-13T20:31:35,US,USD,klarna,cancelled
O20260213-000394,C019926,2026-02-11T10:28:43,SE,SEK,gift_card,cancelled
O20260213-000395,C010928,2026-02-09T11:36:27,FR,EUR,gift_card,cancelled
O20260213-000396,C032163,2026-02-12T12:58:34,GB,GBP,paypal,placed
