refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status,new_refund_processor,new_case_id
R20260213-0000104,L20260213-0000892,O20260213-000340,2026-02-08T15:37:44,101.51,late_delivery,pending,B,B
R20260213-0000105,L20260213-0000917,O20260213-000349,2026-02-11T18:13:11,112.80,other,rejected,B,
R20260213-0000106,L20260213-0000923,O20260213-000352,2026-02-11T07:11:56,11.81,damaged,approved,B,legacy
R20260213-0000107,L20260213-0000924,O20260213-000352,2026-02-06T13:24:07,140.18,damaged,approved,B,legacy
R20260213-0000108,L20260213-0000932,O20260213-000355,2026-02-09T06:23:24,16.20,damaged,pending,legacy,legacy
R20260213-0000109,L20260213-0000933,O20260213-000355,2026-02-05T09:59:20,155.71,late_delivery,rejected,B,A
R20260213-0000110,L20260213-0000948,O20260213-000361,2026-02-13T14:53:48,1.41,customer_remorse,approved,C,C
R20260213-0000111,L20260213-0000949,O20260213-000362,2026-02-09T10:47:37,74.40,customer_remorse,pending,,B
R20260213-0000112,L20260213-0000953,O20260213-000365,2026-02-03T12:27:17,271.16,damaged,approved,C,B
R20260213-0000113,L20260213-0000954,O20260213-000365,2026-02-08T09:55:05,46.41,damaged,rejected,B,B
R20260213-0000114,L20260213-0000968,O20260213-000369,2026-02-10T13:26:35,91.32,late_delivery,pending,,
R20260213-0000115,L20260213-0000976,O20260213-000372,2026-02-07T17:35:33,14.86,other,approved,A,legacy
R20260213-0000116,L20260213-0000987,O20260213-000377,2026-02-07T00:44:38,73.58,late_delivery,approved,C,A
R20260213-0000117,L20260213-0000988,O20260213-000377,2026-02-07T22:48:22,62.81,customer_remorse,rejected,,
R20260213-0000118,L20260213-0000994,O20260213-000380,2026-02-04T11:59:08,122.86,damaged,pending,A,A
R20260213-0000119,L20260213-0001001,O20260213-000384,2026-02-06T09:24:38,117.58,late_delivery,approved,legacy,
R20260213-0000120,L20260213-0001002,O20260213-000384,2026-02-03T17:09:17,121.09,damaged,rejected,A,legacy
R20260213-0000121,L20260213-0001011,O20260213-000387,2026-02-09T23:46:23,5.94,wrong_size,approved,B,
R20260213-0000122,L20260213-0001017,O20260213-000390,2026-02-05T04:00:54,67.87,other,approved,legacy,
R20260213-0000123,L20260213-0001021,O20260213-000391,2026-02-13T02:40:25,9.11,late_delivery,rejected,A,legacy
R20260213-0000124,L20260213-0001036,O20260213-000396,2026-02-05T20:58:52,23.85,other,approved,B,B
R20260213-0000125,L20260213-0001040,O20260213-000397,2026-02-12T12:59:34,121.76,wrong_size,approved,,A
R20260213-0000126,L20260213-0001042,O20260213-000397,2026-02-05T20:44:48,11.12,damaged,approved,A,A
R20260213-0000127,L20260213-0001045,O20260213-000399,2026-02-06T03:52:42,39.01,damaged,pending,,A
R20260213-0000128,L20260213-0001047,O20260213-000399,2026-02-08T07:52:55,15.32,customer_remorse,approved,B,
