order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type,new_marketing_channel
O20260214-000588,C039679,2026-02-09T15:46:59,DE,EUR,paypal,4.99,0.00,paid,2026-02-14,B,B
O20260214-000589,C006791,2026-02-14T18:28:08,DE,EUR,card,2.99,0.00,delivered,2026-02-14,B,C
O20260214-000590,C031388,2026-02-12T09:57:54,US,USD,klarna,2.99,5.00,delivered,2026-02-14,C,B
O20260214-000591,C022065,2026-02-11T18:08:54,SE,SEK,paypal,0.00,0.00,placed,2026-02-14,C,A
O20260214-000592,C019777,2026-02-12T18:27:54,US,USD,klarna,7.99,0.00,paid,2026-02-14,C,
O20260214-000593,C014644,2026-02-10T01:52:01,GB,GBP,paypal,4.99,0.00,paid,2026-02-14,,legacy
O20260214-000594,C013372,2026-02-09T14:21:54,US,USD,gift_card,4.99,15.00,cancelled,2026-02-14,B,A
O20260214-000595,C012473,2026-02-12T18:21:40,NL,EUR,gift_card,0.00,15.00,delivered,2026-02-14,B,A
O20260214-000596,C037596,2026-02-10T06:04:16,US,USD,klarna,4.99,0.00,shipped,2026-02-14,C,
O20260214-000597,C021448,2026-02-11T12:14:05,GB,GBP,card,2.99,15.00,cancelled,2026-02-14,C,legacy
O20260214-000598,C003150,2026-02-13T09:56:11,SE,SEK,paypal,7.99,0.00,paid,2026-02-14,C,B
O20260214-000599,C016297,2026-02-13T09:29:18,US,USD,paypal,4.99,10.00,paid,2026-02-14,C,C
O20260214-000600,C007064,2026-02-14T09:14:42,GB,GBP,gift_card,7.99,15.00,delivered,2026-02-14,legacy,B
O20260214-000601,C001837,2026-02-14T17:50:57,FR,EUR,klarna,2.99,15.00,shipped,2026-02-14,A,
O20260214-000602,C038180,2026-02-14T04:56:51,NL,EUR,card,7.99,10.00,shipped,2026-02-14,C,C
O20260214-000603,C030528,2026-02-12T06:02:19,US,USD,paypal,4.99,0.00,paid,2026-02-14,A,A
O20260214-000604,C035165,2026-02-12T01:10:10,DE,EUR,klarna,7.99,10.00,shipped,2026-02-14,A,legacy
O20260214-000605,C029390,2026-02-12T23:55:48,DE,EUR,paypal,2.99,0.00,paid,2026-02-14,,B
O20260214-000606,C010048,2026-02-10T07:00:08,FR,EUR,card,2.99,5.00,delivered,2026-02-14,legacy,legacy
O20260214-000607,C007066,2026-02-13T06:56:00,FR,EUR,paypal,0.00,0.00,paid,2026-02-14,A,legacy
O20260214-000608,C026758,2026-02-11T14:04:46,SE,SEK,card,7.99,10.00,shipped,2026-02-14,B,
O20260214-000609,C028675,2026-02-11T04:49:30,US,USD,klarna,4.99,0.00,placed,2026-02-14,B,A
O20260214-000610,C018219,2026-02-09T11:13:03,DE,EUR,card,2.99,0.00,cancelled,2026-02-14,,B
O20260214-000611,C016929,2026-02-11T05:15:01,FR,EUR,paypal,4.99,0.00,placed,2026-02-14,C,B
O20260214-000612,C035402,2026-02-12T14:04:51,DE,EUR,card,0.00,10.00,paid,2026-02-14,C,legacy
O20260214-000613,C008678,2026-02-12T01:56:23,DE,EUR,card,7.99,10.00,shipped,2026-02-14,C,legacy
O20260214-000614,C035814,2026-02-11T23:49:06,GB,GBP,gift_card,7.99,5.00,shipped,2026-02-14,legacy,B
O20260214-000615,C006939,2026-02-10T19:59:55,NL,EUR,paypal,4.99,0.00,delivered,2026-02-14,A,legacy
O20260214-000616,C035496,2026-02-13T17:55:58,SE,SEK,gift_card,2.99,10.00,paid,2026-02-14,legacy,C
O20260214-000617,C033148,2026-02-14T05:09:20,SE,SEK,card,4.99,10.00,delivered,2026-02-14,legacy,
O20260214-000618,C018465,2026-02-09T08:58:32,FR,EUR,paypal,2.99,10.00,paid,2026-02-14,legacy,A
O20260214-000619,C012297,2026-02-11T18:49:04,GB,GBP,paypal,0.00,0.00,placed,2026-02-14,,
O20260214-000620,C003090,2026-02-14T16:29:32,US,USD,card,2.99,5.00,cancelled,2026-02-14,C,A
O20260214-000621,C003277,2026-02-09T02:29:54,NL,EUR,card,7.99,5.00,placed,2026-02-14,C,A
O20260214-000622,C014781,2026-02-10T04:22:06,GB,GBP,klarna,4.99,0.00,cancelled,2026-02-14,A,A
O20260214-000623,C007170,2026-02-11T03:11:11,SE,SEK,paypal,7.99,10.00,shipped,2026-02-14,B,A
O20260214-000624,C014439,2026-02-10T14:11:10,DE,EUR,card,4.99,5.00,paid,2026-02-14,B,C
O20260214-000625,C007405,2026-02-11T05:24:43,DE,EUR,klarna,4.99,15.00,delivered,2026-02-14,C,B
O20260214-000626,C012800,2026-02-09T23:00:44,DE,EUR,paypal,2.99,5.00,shipped,2026-02-14,C,A
O20260214-000627,C029021,2026-02-14T09:32:53,SE,SEK,gift_card,4.99,0.00,shipped,2026-02-14,B,B
O20260214-000628,C001364,2026-02-13T00:55:23,NL,EUR,gift_card,4.99,0.00,cancelled,2026-02-14,A,A
O20260214-000629,C012417,2026-02-09T14:31:16,SE,SEK,paypal,7.99,10.00,paid,2026-02-14,,A
O20260214-000630,C039174,2026-02-09T10:26:14,DE,EUR,klarna,2.99,10.00,delivered,2026-02-14,C,legacy
O20260214-000631,C020900,2026-02-13T05:58:22,NL,EUR,paypal,0.00,10.00,placed,2026-02-14,legacy,
O20260214-000632,C022892,2026-02-10T02:09:51,NL,EUR,paypal,0.00,5.00,cancelled,2026-02-14,A,B
O20260214-000633,C010333,2026-02-13T18:18:07,GB,GBP,card,4.99,10.00,paid,2026-02-14,,B
O20260214-000634,C009938,2026-02-10T10:20:48,US,USD,gift_card,2.99,10.00,paid,2026-02-14,A,legacy
O20260214-000635,C010104,2026-02-09T13:11:52,NL,EUR,klarna,2.99,0.00,delivered,2026-02-14,,A
O20260214-000636,C004981,2026-02-12T21:16:39,NL,EUR,card,4.99,0.00,paid,2026-02-14,A,B
O20260214-000637,C007011,2026-02-13T20:34:48,DE,EUR,card,0.00,5.00,cancelled,2026-02-14,B,A
O20260214-000638,C014710,2026-02-09T05:04:52,FR,EUR,card,2.99,0.00,placed,2026-02-14,B,A
O20260214-000639,C004999,2026-02-12T23:18:32,DE,EUR,card,4.99,15.00,paid,2026-02-14,legacy,
O20260214-000640,C035615,2026-02-11T17:31:25,NL,EUR,klarna,0.00,0.00,cancelled,2026-02-14,legacy,legacy
O20260214-000641,C034790,2026-02-12T08:35:34,US,USD,card,7.99,5.00,shipped,2026-02-14,legacy,legacy
O20260214-000642,C000063,2026-02-14T12:11:36,DE,EUR,gift_card,7.99,15.00,delivered,2026-02-14,A,A
O20260214-000643,C020558,2026-02-10T10:49:47,DE,EUR,gift_card,7.99,5.00,delivered,2026-02-14,A,C
O20260214-000644,C020369,2026-02-09T03:38:27,GB,GBP,paypal,2.99,5.00,paid,2026-02-14,A,A
O20260214-000645,C009235,2026-02-09T13:51:09,US,USD,paypal,0.00,0.00,paid,2026-02-14,B,C
O20260214-000646,C020031,2026-02-09T02:02:18,US,USD,paypal,4.99,15.00,paid,2026-02-14,,A
O20260214-000647,C018443,2026-02-09T15:32:58,US,USD,card,0.00,10.00,cancelled,2026-02-14,B,A
O20260214-000648,C010055,2026-02-11T18:39:38,NL,EUR,klarna,0.00,0.00,cancelled,2026-02-14,,A
O20260214-000649,C013053,2026-02-14T23:35:01,GB,GBP,card,2.99,10.00,delivered,2026-02-14,legacy,
O20260214-000650,C001373,2026-02-09T22:47:10,NL,EUR,card,0.00,0.00,shipped,2026-02-14,legacy,
O20260214-000651,C010571,2026-02-10T10:12:34,DE,EUR,gift_card,2.99,0.00,placed,2026-02-14,A,A
O20260214-000652,C003042,2026-02-12T05:17:15,SE,SEK,paypal,0.00,5.00,cancelled,2026-02-14,,B
O20260214-000653,C010607,2026-02-11T19:10:42,GB,GBP,card,0.00,10.00,delivered,2026-02-14,C,legacy
O20260214-000654,C028325,2026-02-13T14:48:27,FR,EUR,paypal,2.99,0.00,cancelled,2026-02-14,A,legacy
O20260214-000655,C032873,2026-02-10T12:43:50,DE,EUR,paypal,2.99,10.00,delivered,2026-02-14,C,A
O20260214-000656,C005460,2026-02-10T10:40:07,GB,GBP,gift_card,2.99,10.00,delivered,2026-02-14,legacy,C
O20260214-000657,C016242,2026-02-11T17:19:49,US,USD,card,0.00,0.00,paid,2026-02-14,,legacy
O20260214-000658,C033151,2026-02-13T06:57:14,DE,EUR,paypal,0.00,15.00,cancelled,2026-02-14,C,C
O20260214-000659,C014668,2026-02-12T05:29:47,GB,GBP,card,7.99,5.00,placed,2026-02-14,A,A
O20260214-000660,C031607,2026-02-11T12:06:41,NL,EUR,card,7.99,5.00,cancelled,2026-02-14,A,B
O20260214-000661,C000412,2026-02-09T17:33:06,DE,EUR,klarna,2.99,0.00,cancelled,2026-02-14,,C
O20260214-000662,C030612,2026-02-10T14:26:07,DE,EUR,gift_card,0.00,5.00,cancelled,2026-02-14,B,C
O20260214-000663,C037982,2026-02-10T20:15:34,NL,EUR,klarna,4.99,10.00,paid,2026-02-14,legacy,B
O20260214-000664,C001091,2026-02-09T23:09:44,GB,GBP,gift_card,7.99,5.00,delivered,2026-02-14,A,A
O20260214-000665,C025197,2026-02-13T19:55:22,FR,EUR,card,2.99,5.00,delivered,2026-02-14,,B
O20260214-000666,C020189,2026-02-10T16:37:36,DE,EUR,paypal,4.99,5.00,paid,2026-02-14,legacy,legacy
O20260214-000667,C017881,2026-02-09T13:40:40,FR,EUR,card,7.99,5.00,paid,2026-02-14,,legacy
O20260214-000668,C039835,2026-02-14T14:17:40,FR,EUR,gift_card,2.99,15.00,delivered,2026-02-14,A,
O20260214-000669,C038684,2026-02-12T02:48:28,NL,EUR,gift_card,7.99,0.00,cancelled,2026-02-14,B,
O20260214-000670,C036258,2026-02-10T14:19:43,US,USD,gift_card,4.99,15.00,shipped,2026-02-14,legacy,A
O20260214-000671,C037420,2026-02-12T12:17:04,GB,GBP,paypal,4.99,0.00,delivered,2026-02-14,B,
O20260214-000672,C015895,2026-02-12T14:33:40,NL,EUR,klarna,2.99,10.00,cancelled,2026-02-14,A,
O20260214-000673,C034945,2026-02-14T12:18:49,FR,EUR,card,4.99,5.00,shipped,2026-02-14,A,
O20260214-000674,C039645,2026-02-13T21:40:32,US,USD,gift_card,0.00,5.00,paid,2026-02-14,A,legacy
O20260214-000675,C002058,2026-02-13T12:08:29,US,USD,card,7.99,10.00,shipped,2026-02-14,legacy,A
O20260214-000676,C039442,2026-02-14T00:53:34,FR,EUR,paypal,4.99,15.00,shipped,2026-02-14,legacy,
O20260214-000677,C034085,2026-02-14T07:00:35,SE,SEK,paypal,0.00,5.00,delivered,2026-02-14,B,B
O20260214-000678,C035446,2026-02-10T07:39:38,SE,SEK,gift_card,4.99,0.00,cancelled,2026-02-14,B,legacy
O20260214-000679,C027263,2026-02-13T00:09:59,SE,SEK,gift_card,4.99,0.00,placed,2026-02-14,legacy,
O20260214-000680,C013950,2026-02-14T21:22:46,US,USD,gift_card,7.99,0.00,cancelled,2026-02-14,C,
O20260214-000681,C023324,2026-02-09T06:01:58,FR,EUR,klarna,7.99,5.00,placed,2026-02-14,,A
O20260214-000682,C017109,2026-02-10T06:52:28,FR,EUR,klarna,7.99,10.00,cancelled,2026-02-14,legacy,B
O20260214-000683,C032942,2026-02-11T23:58:01,US,USD,card,7.99,0.00,delivered,2026-02-14,,C
O20260214-000684,C002289,2026-02-14T03:40:48,GB,GBP,paypal,7.99,5.00,placed,2026-02-14,B,A
O20260214-000685,C015134,2026-02-12T09:19:16,US,USD,paypal,0.00,10.00,delivered,2026-02-14,,
O20260214-000686,C022476,2026-02-11T17:57:59,SE,SEK,gift_card,4.99,0.00,shipped,2026-02-14,legacy,A
O20260214-000687,C024762,2026-02-13T04:07:20,US,USD,klarna,7.99,10.00,paid,2026-02-14,A,B
O20260214-000688,C027884,2026-02-13T05:54:11,SE,SEK,card,0.00,5.00,paid,2026-02-14,C,legacy
O20260214-000689,C019327,2026-02-11T00:16:31,DE,EUR,klarna,7.99,10.00,shipped,2026-02-14,A,legacy
O20260214-000690,C018912,2026-02-09T10:23:38,FR,EUR,paypal,7.99,5.00,paid,2026-02-14,C,C
O20260214-000691,C015189,2026-02-10T07:20:00,US,USD,gift_card,0.00,0.00,shipped,2026-02-14,,legacy
O20260214-000692,C022787,2026-02-13T03:10:44,SE,SEK,card,0.00,0.00,delivered,2026-02-14,A,A
O20260214-000693,C012114,2026-02-14T02:59:45,DE,EUR,gift_card,2.99,0.00,delivered,2026-02-14,B,C
O20260214-000694,C010293,2026-02-11T08:34:41,NL,EUR,paypal,4.99,15.00,shipped,2026-02-14,C,B
O20260214-000695,C021053,2026-02-10T10:10:11,GB,GBP,klarna,2.99,5.00,paid,2026-02-14,B,B
O20260214-000696,C020489,2026-02-14T12:07:32,GB,GBP,klarna,7.99,5.00,cancelled,2026-02-14,,B
O20260214-000697,C029402,2026-02-14T01:21:58,US,USD,card,0.00,5.00,shipped,2026-02-14,B,A
O20260214-000698,C006079,2026-02-12T14:29:19,FR,EUR,klarna,7.99,0.00,shipped,2026-02-14,,legacy
O20260214-000699,C014079,2026-02-12T04:19:28,GB,GBP,klarna,0.00,10.00,placed,2026-02-14,A,
