order_line_id,order_id,product_id,quantity,unit_price,sku,line_discount_amount,tax_rate,line_ts,new_fulfillment_mode
L20260215-0002121,O20260215-000815,P00079,3,97.49,SKU-00079,0.00,0.07,2026-02-11T17:41:01,B
L20260215-0002122,O20260215-000815,P00083,1,60.39,SKU-00083,0.00,0.10,2026-02-08T18:55:26,B
L20260215-0002123,O20260215-000816,P00081,1,102.43,SKU-00081,0.00,0.25,2026-02-11T00:38:04,A
L20260215-0002124,O20260215-000817,P00090,1,34.54,SKU-00090,3.00,0.07,2026-02-08T13:08:18,C
L20260215-0002125,O20260215-000817,P00113,1,185.01,SKU-00113,3.00,0.20,2026-02-13T04:23:16,C
L20260215-0002126,O20260215-000817,P00077,1,157.08,SKU-00077,0.00,0.07,2026-02-09T19:14:03,legacy
L20260215-0002127,O20260215-000817,P00077,1,157.08,SKU-00077,1.50,0.00,2026-02-14T21:21:09,
L20260215-0002128,O20260215-000818,P00031,1,37.45,SKU-00031,0.00,0.20,2026-02-13T05:25:19,legacy
L20260215-0002129,O20260215-000818,P00117,1,260.73,SKU-00117,1.50,0.20,2026-02-10T13:36:50,legacy
L20260215-0002130,O20260215-000818,P00002,1,112.31,SKU-00002,0.00,0.25,2026-02-11T04:58:39,legacy
L20260215-0002131,O20260215-000818,P00103,1,131.37,SKU-00103,0.00,0.10,2026-02-11T14:51:19,A
L20260215-0002132,O20260215-000819,P00021,3,85.06,SKU-00021,5.00,0.07,2026-02-10T19:26:43,A
L20260215-0002133,O20260215-000819,P00054,2,190.10,SKU-00054,3.00,0.00,2026-02-10T07:55:38,legacy
L20260215-0002134,O20260215-000820,P00102,1,104.40,SKU-00102,0.00,0.20,2026-02-13T23:19:29,
L20260215-0002135,O20260215-000821,P00052,1,257.89,SKU-00052,0.00,0.00,2026-02-12T04:38:36,A
L20260215-0002136,O20260215-000821,P00003,3,137.80,SKU-00003,0.00,0.00,2026-02-09T09:53:29,legacy
L20260215-0002137,O20260215-000822,P00009,1,17.27,SKU-00009,1.50,0.07,2026-02-08T16:31:15,
L20260215-0002138,O20260215-000822,P00108,1,188.64,SKU-00108,1.50,0.10,2026-02-15T22:58:18,legacy
L20260215-0002139,O20260215-000822,P00023,1,170.56,SKU-00023,0.00,0.20,2026-02-08T19:09:46,A
L20260215-0002140,O20260215-000822,P00091,1,176.65,SKU-00091,3.00,0.20,2026-02-10T08:36:14,C
L20260215-0002141,O20260215-000823,P00040,1,69.60,SKU-00040,5.00,0.20,2026-02-15T08:20:54,C
L20260215-0002142,O20260215-000823,P00028,3,263.53,SKU-00028,0.00,0.10,2026-02-13T16:30:35,A
L20260215-0002143,O20260215-000824,P00043,2,58.92,SKU-00043,0.00,0.07,2026-02-14T07:15:01,C
L20260215-0002144,O20260215-000824,P00120,2,94.97,SKU-00120,0.00,0.10,2026-02-10T07:40:57,B
L20260215-0002145,O20260215-000825,P00007,1,29.79,SKU-00007,0.00,0.20,2026-02-11T03:54:11,A
L20260215-0002146,O20260215-000825,P00020,1,173.61,SKU-00020,3.00,0.10,2026-02-15T20:36:34,A
L20260215-0002147,O20260215-000826,P00025,2,138.71,SKU-00025,0.00,0.00,2026-02-12T07:22:02,B
L20260215-0002148,O20260215-000826,P00042,1,93.45,SKU-00042,3.00,0.00,2026-02-13T07:52:08,A
L20260215-0002149,O20260215-000826,P00042,1,93.45,SKU-00042,0.00,0.20,2026-02-14T11:22:20,B
L20260215-0002150,O20260215-000827,P00007,3,29.79,SKU-00007,1.50,0.00,2026-02-11T04:09:57,
L20260215-0002151,O20260215-000827,P00083,1,60.39,SKU-00083,1.50,0.20,2026-02-11T02:05:37,A
L20260215-0002152,O20260215-000827,P00080,1,72.41,SKU-00080,1.50,0.10,2026-02-14T04:20:14,legacy
L20260215-0002153,O20260215-000827,P00066,1,10.75,SKU-00066,3.00,0.25,2026-02-14T18:05:54,A
L20260215-0002154,O20260215-000828,P00106,1,154.38,SKU-00106,0.00,0.10,2026-02-12T23:44:19,
L20260215-0002155,O20260215-000828,P00079,1,97.49,SKU-00079,0.00,0.25,2026-02-08T03:21:44,C
L20260215-0002156,O20260215-000829,P00110,1,85.31,SKU-00110,1.50,0.20,2026-02-14T12:27:51,A
L20260215-0002157,O20260215-000829,P00030,1,214.54,SKU-00030,5.00,0.07,2026-02-11T13:15:01,legacy
L20260215-0002158,O20260215-000829,P00108,2,188.64,SKU-00108,0.00,0.20,2026-02-13T02:42:42,A
L20260215-0002159,O20260215-000829,P00112,3,208.38,SKU-00112,1.50,0.20,2026-02-12T10:08:00,C
L20260215-0002160,O20260215-000830,P00059,2,6.15,SKU-00059,0.00,0.10,2026-02-15T09:09:03,C
L20260215-0002161,O20260215-000831,P00078,3,203.66,SKU-00078,3.00,0.25,2026-02-10T21:41:26,
L20260215-0002162,O20260215-000831,P00077,2,157.08,SKU-00077,3.00,0.00,2026-02-11T06:43:13,A
L20260215-0002163,O20260215-000831,P00089,2,221.76,SKU-00089,0.00,0.25,2026-02-15T23:48:37,legacy
L20260215-0002164,O20260215-000832,P00014,1,22.31,SKU-00014,0.00,0.10,2026-02-09T23:06:54,A
L20260215-0002165,O20260215-000833,P00094,1,184.89,SKU-00094,5.00,0.07,2026-02-08T16:33:32,legacy
L20260215-0002166,O20260215-000834,P00069,3,154.69,SKU-00069,0.00,0.00,2026-02-11T12:42:07,
L20260215-0002167,O20260215-000835,P00032,3,78.43,SKU-00032,5.00,0.00,2026-02-09T16:30:45,A
L20260215-0002168,O20260215-000835,P00069,1,154.69,SKU-00069,0.00,0.25,2026-02-10T13:59:38,C
L20260215-0002169,O20260215-000835,P00006,1,30.11,SKU-00006,0.00,0.25,2026-02-09T10:25:48,A
L20260215-0002170,O20260215-000835,P00072,3,143.56,SKU-00072,0.00,0.20,2026-02-08T05:33:02,legacy
L20260215-0002171,O20260215-000836,P00062,1,71.15,SKU-00062,3.00,0.07,2026-02-15T23:40:35,B
L20260215-0002172,O20260215-000837,P00087,1,108.17,SKU-00087,3.00,0.07,2026-02-12T14:13:22,C
L20260215-0002173,O20260215-000838,P00037,1,162.77,SKU-00037,3.00,0.25,2026-02-12T23:46:45,
L20260215-0002174,O20260215-000838,P00100,1,132.98,SKU-00100,5.00,0.07,2026-02-15T12:38:28,legacy
L20260215-0002175,O20260215-000838,P00114,3,246.88,SKU-00114,5.00,0.25,2026-02-10T03:41:16,C
L20260215-0002176,O20260215-000838,P00045,1,290.65,SKU-00045,5.00,0.25,2026-02-12T13:29:57,C
L20260215-0002177,O20260215-000839,P00034,2,159.22,SKU-00034,3.00,0.10,2026-02-15T13:24:33,C
L20260215-0002178,O20260215-000840,P00058,1,103.09,SKU-00058,0.00,0.25,2026-02-10T15:57:06,legacy
L20260215-0002179,O20260215-000840,P00011,2,51.47,SKU-00011,1.50,0.10,2026-02-09T01:22:42,C
L20260215-0002180,O20260215-000840,P00078,1,203.66,SKU-00078,3.00,0.07,2026-02-11T07:59:48,A
L20260215-0002181,O20260215-000840,P00012,3,60.77,SKU-00012,0.00,0.20,2026-02-12T18:59:09,
L20260215-0002182,O20260215-000841,P00093,1,184.63,SKU-00093,0.00,0.10,2026-02-10T13:21:48,A
L20260215-0002183,O20260215-000842,P00031,2,37.45,SKU-00031,3.00,0.20,2026-02-12T00:43:12,legacy
L20260215-0002184,O20260215-000842,P00013,2,90.80,SKU-00013,3.00,0.25,2026-02-08T03:37:50,C
