order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date,new_device_type
O20260216-001039,C034625,2026-02-14T20:59:43,NL,EUR,klarna,0.00,15.00,placed,2026-02-16,C
O20260216-001040,C002263,2026-02-14T02:54:49,DE,EUR,card,4.99,5.00,cancelled,2026-02-16,
O20260216-001041,C002149,2026-02-14T03:03:38,FR,EUR,paypal,2.99,5.00,delivered,2026-02-16,legacy
O20260216-001042,C016241,2026-02-15T13:12:48,SE,SEK,paypal,0.00,5.00,delivered,2026-02-16,A
O20260216-001043,C024138,2026-02-11T09:12:29,GB,GBP,card,0.00,15.00,cancelled,2026-02-16,B
O20260216-001044,C007833,2026-02-13T08:14:28,SE,SEK,gift_card,0.00,0.00,placed,2026-02-16,B
O20260216-001045,C000703,2026-02-11T08:28:03,NL,EUR,card,2.99,5.00,cancelled,2026-02-16,B
O20260216-001046,C036163,2026-02-11T07:55:13,DE,EUR,gift_card,0.00,10.00,cancelled,2026-02-16,A
O20260216-001047,C024949,2026-02-12T03:29:24,SE,SEK,gift_card,4.99,0.00,shipped,2026-02-16,legacy
O20260216-001048,C006187,2026-02-13T23:15:44,FR,EUR,paypal,0.00,0.00,placed,2026-02-16,legacy
O20260216-001049,C022752,2026-02-11T11:57:52,GB,GBP,card,7.99,15.00,cancelled,2026-02-16,legacy
O20260216-001050,C016211,2026-02-11T20:04:31,DE,EUR,paypal,7.99,5.00,delivered,2026-02-16,A
O20260216-001051,C034022,2026-02-12T22:52:16,US,USD,klarna,0.00,10.00,shipped,2026-02-16,
O20260216-001052,C019400,2026-02-14T04:47:21,GB,GBP,paypal,4.99,10.00,placed,2026-02-16,A
O20260216-001053,C032602,2026-02-13T11:00:36,GB,GBP,klarna,7.99,0.00,placed,2026-02-16,legacy
O20260216-001054,C035258,2026-02-11T10:27:09,NL,EUR,paypal,7.99,0.00,cancelled,2026-02-16,C
O20260216-001055,C010494,2026-02-13T00:48:08,GB,GBP,gift_card,0.00,0.00,cancelled,2026-02-16,A
O20260216-001056,C033590,2026-02-16T23:07:01,NL,EUR,paypal,7.99,0.00,cancelled,2026-02-16,
O20260216-001057,C004457,2026-02-12T08:54:36,GB,GBP,card,0.00,10.00,placed,2026-02-16,C
O20260216-001058,C012866,2026-02-15T15:44:25,US,USD,paypal,0.00,5.00,cancelled,2026-02-16,A
O20260216-001059,C030471,2026-02-13T15:50:03,NL,EUR,card,4.99,15.00,delivered,2026-02-16,B
O20260216-001060,C025278,2026-02-12T04:56:06,DE,EUR,card,4.99,10.00,cancelled,2026-02-16,C
O20260216-001061,C020049,2026-02-13T00:31:28,NL,EUR,paypal,4.99,15.00,shipped,2026-02-16,A
O20260216-001062,C036893,2026-02-11T03:37:52,NL,EUR,paypal,2.99,0.00,shipped,2026-02-16,B
O20260216-001063,C013413,2026-02-14T12:15:54,US,USD,gift_card,4.99,15.00,cancelled,2026-02-16,A
O20260216-001064,C023050,2026-02-16T01:31:22,DE,EUR,card,7.99,10.00,shipped,2026-02-16,A
O20260216-001065,C034403,2026-02-13T20:30:12,GB,GBP,klarna,0.00,15.00,paid,2026-02-16,
O20260216-001066,C007406,2026-02-13T23:31:16,GB,GBP,gift_card,4.99,10.00,delivered,2026-02-16,legacy
O20260216-001067,C015648,2026-02-14T19:59:39,FR,EUR,klarna,4.99,0.00,cancelled,2026-02-16,legacy
O20260216-001068,C024435,2026-02-13T19:37:37,DE,EUR,gift_card,0.00,0.00,shipped,2026-02-16,
O20260216-001069,C002366,2026-02-16T19:12:03,DE,EUR,gift_card,4.99,10.00,cancelled,2026-02-16,
O20260216-001070,C009746,2026-02-13T15:07:36,US,USD,card,7.99,15.00,cancelled,2026-02-16,C
O20260216-001071,C013817,2026-02-14T07:43:02,DE,EUR,paypal,0.00,0.00,cancelled,2026-02-16,legacy
O20260216-001072,C036492,2026-02-15T01:20:41,NL,EUR,gift_card,2.99,15.00,delivered,2026-02-16,
O20260216-001073,C015214,2026-02-15T10:53:21,SE,SEK,paypal,7.99,0.00,placed,2026-02-16,C
O20260216-001074,C039206,2026-02-11T08:49:35,DE,EUR,gift_card,4.99,10.00,cancelled,2026-02-16,C
O20260216-001075,C007454,2026-02-15T17:10:25,US,USD,paypal,4.99,5.00,placed,2026-02-16,legacy
O20260216-001076,C015123,2026-02-12T05:51:08,NL,EUR,paypal,2.99,0.00,delivered,2026-02-16,C
O20260216-001077,C030153,2026-02-12T13:21:57,GB,GBP,card,2.99,15.00,shipped,2026-02-16,A
O20260216-001078,C028796,2026-02-14T20:41:03,GB,GBP,klarna,4.99,10.00,delivered,2026-02-16,legacy
O20260216-001079,C031623,2026-02-12T02:29:19,GB,GBP,paypal,0.00,0.00,shipped,2026-02-16,C
O20260216-001080,C019780,2026-02-11T10:13:22,DE,EUR,paypal,0.00,0.00,shipped,2026-02-16,legacy
O20260216-001081,C023051,2026-02-16T18:09:57,NL,EUR,gift_card,2.99,0.00,cancelled,2026-02-16,A
O20260216-001082,C033789,2026-02-16T23:50:12,SE,SEK,gift_card,4.99,10.00,shipped,2026-02-16,C
O20260216-001083,C012220,2026-02-12T08:12:12,NL,EUR,card,7.99,15.00,delivered,2026-02-16,C
O20260216-001084,C000313,2026-02-12T17:20:20,NL,EUR,card,7.99,15.00,shipped,2026-02-16,A
O20260216-001085,C037960,2026-02-11T08:17:51,DE,EUR,card,0.00,0.00,placed,2026-02-16,C
O20260216-001086,C009563,2026-02-13T23:37:30,SE,SEK,klarna,2.99,5.00,shipped,2026-02-16,legacy
O20260216-001087,C009848,2026-02-16T00:06:54,FR,EUR,card,7.99,15.00,cancelled,2026-02-16,
O20260216-001088,C007447,2026-02-15T04:48:54,GB,GBP,paypal,4.99,10.00,shipped,2026-02-16,B
O20260216-001089,C034647,2026-02-14T16:56:40,DE,EUR,card,0.00,0.00,shipped,2026-02-16,B
O20260216-001090,C032735,2026-02-16T06:19:29,GB,GBP,klarna,7.99,0.00,placed,2026-02-16,
O20260216-001091,C018763,2026-02-11T05:24:11,NL,EUR,klarna,4.99,5.00,shipped,2026-02-16,
O20260216-001092,C010661,2026-02-16T05:07:53,NL,EUR,paypal,4.99,5.00,delivered,2026-02-16,legacy
O20260216-001093,C011117,2026-02-15T21:15:36,FR,EUR,klarna,0.00,10.00,placed,2026-02-16,C
O20260216-001094,C016130,2026-02-11T09:14:17,NL,EUR,gift_card,7.99,0.00,cancelled,2026-02-16,
O20260216-001095,C016987,2026-02-13T21:03:46,SE,SEK,card,7.99,0.00,paid,2026-02-16,B
O20260216-001096,C034439,2026-02-16T01:28:36,FR,EUR,klarna,0.00,10.00,paid,2026-02-16,
O20260216-001097,C008747,2026-02-16T08:40:48,SE,SEK,card,2.99,0.00,paid,2026-02-16,B
O20260216-001098,C019076,2026-02-11T03:31:21,DE,EUR,gift_card,0.00,10.00,cancelled,2026-02-16,legacy
O20260216-001099,C039805,2026-02-14T13:16:42,US,USD,card,4.99,5.00,placed,2026-02-16,
O20260216-001100,C014309,2026-02-11T06:27:25,DE,EUR,klarna,0.00,0.00,cancelled,2026-02-16,C
O20260216-001101,C039144,2026-02-16T10:57:27,SE,SEK,klarna,0.00,10.00,cancelled,2026-02-16,A
O20260216-001102,C024459,2026-02-11T15:35:10,US,USD,card,4.99,0.00,shipped,2026-02-16,legacy
O20260216-001103,C011684,2026-02-15T02:52:37,FR,EUR,card,0.00,5.00,paid,2026-02-16,A
O20260216-001104,C038201,2026-02-12T08:32:07,FR,EUR,klarna,0.00,5.00,placed,2026-02-16,C
O20260216-001105,C014182,2026-02-12T11:44:45,US,USD,gift_card,2.99,15.00,placed,2026-02-16,B
O20260216-001106,C011037,2026-02-13T10:09:00,SE,SEK,card,2.99,0.00,placed,2026-02-16,A
O20260216-001107,C019790,2026-02-16T04:03:39,NL,EUR,klarna,4.99,10.00,cancelled,2026-02-16,C
O20260216-001108,C033653,2026-02-12T12:25:23,FR,EUR,klarna,0.00,15.00,paid,2026-02-16,B
O20260216-001109,C012231,2026-02-12T03:15:42,NL,EUR,gift_card,7.99,5.00,cancelled,2026-02-16,legacy
O20260216-001110,C027286,2026-02-14T08:44:40,US,USD,card,4.99,0.00,paid,2026-02-16,C
O20260216-001111,C007451,2026-02-12T20:01:57,GB,GBP,card,0.00,0.00,placed,2026-02-16,C
O20260216-001112,C020621,2026-02-15T06:06:22,FR,EUR,gift_card,2.99,0.00,shipped,2026-02-16,A
O20260216-001113,C035596,2026-02-14T22:00:46,DE,EUR,paypal,2.99,5.00,delivered,2026-02-16,C
O20260216-001114,C025760,2026-02-13T02:40:15,DE,EUR,paypal,0.00,0.00,shipped,2026-02-16,
O20260216-001115,C016590,2026-02-15T07:34:27,DE,EUR,gift_card,0.00,10.00,delivered,2026-02-16,B
O20260216-001116,C001943,2026-02-14T04:39:58,NL,EUR,paypal,7.99,10.00,delivered,2026-02-16,A
O20260216-001117,C019818,2026-02-16T17:44:56,NL,EUR,gift_card,7.99,0.00,placed,2026-02-16,
O20260216-001118,C029414,2026-02-11T10:11:50,US,USD,klarna,0.00,0.00,paid,2026-02-16,
O20260216-001119,C002346,2026-02-14T02:01:44,DE,EUR,gift_card,2.99,5.00,delivered,2026-02-16,C
O20260216-001120,C022588,2026-02-14T05:27:22,DE,EUR,klarna,0.00,10.00,cancelled,2026-02-16,B
O20260216-001121,C013591,2026-02-12T05:31:54,FR,EUR,gift_card,2.99,15.00,cancelled,2026-02-16,C
O20260216-001122,C012143,2026-02-15T17:42:06,SE,SEK,paypal,2.99,10.00,paid,2026-02-16,legacy
O20260216-001123,C010906,2026-02-13T17:41:27,GB,GBP,card,7.99,0.00,shipped,2026-02-16,B
O20260216-001124,C015221,2026-02-14T14:49:41,DE,EUR,paypal,0.00,15.00,cancelled,2026-02-16,legacy
O20260216-001125,C024066,2026-02-12T07:04:52,FR,EUR,card,7.99,15.00,cancelled,2026-02-16,C
O20260216-001126,C005301,2026-02-11T06:20:15,DE,EUR,klarna,7.99,0.00,shipped,2026-02-16,A
O20260216-001127,C030755,2026-02-11T00:31:30,US,USD,klarna,0.00,15.00,cancelled,2026-02-16,
O20260216-001128,C037116,2026-02-14T21:36:39,SE,SEK,gift_card,2.99,5.00,delivered,2026-02-16,
O20260216-001129,C033068,2026-02-13T22:26:08,NL,EUR,card,2.99,15.00,placed,2026-02-16,
O20260216-001130,C037933,2026-02-14T02:39:49,SE,SEK,klarna,4.99,5.00,shipped,2026-02-16,C
O20260216-001131,C011228,2026-02-15T11:37:21,GB,GBP,klarna,0.00,0.00,paid,2026-02-16,A
O20260216-001132,C002266,2026-02-11T10:39:04,GB,GBP,klarna,4.99,0.00,cancelled,2026-02-16,
O20260216-001133,C013643,2026-02-11T22:22:07,NL,EUR,card,0.00,15.00,delivered,2026-02-16,legacy
O20260216-001134,C020226,2026-02-14T03:43:14,NL,EUR,gift_card,2.99,10.00,shipped,2026-02-16,legacy
O20260216-001135,C039676,2026-02-16T10:46:01,GB,GBP,klarna,0.00,10.00,paid,2026-02-16,
O20260216-001136,C009330,2026-02-15T07:16:08,NL,EUR,gift_card,7.99,15.00,delivered,2026-02-16,legacy
O20260216-001137,C013024,2026-02-11T05:13:40,US,USD,card,2.99,15.00,placed,2026-02-16,legacy
O20260216-001138,C004138,2026-02-12T19:41:46,NL,EUR,paypal,4.99,5.00,delivered,2026-02-16,C
O20260216-001139,C020982,2026-02-15T03:04:57,GB,GBP,paypal,7.99,5.00,cancelled,2026-02-16,legacy
O20260216-001140,C016002,2026-02-13T06:04:05,NL,EUR,klarna,2.99,0.00,placed,2026-02-16,C
O20260216-001141,C035065,2026-02-12T12:10:15,US,USD,card,7.99,5.00,cancelled,2026-02-16,
O20260216-001142,C001727,2026-02-16T07:52:59,SE,SEK,card,0.00,0.00,delivered,2026-02-16,C
O20260216-001143,C035858,2026-02-14T22:05:43,SE,SEK,card,0.00,0.00,placed,2026-02-16,legacy
O20260216-001144,C010032,2026-02-14T02:45:16,FR,EUR,card,0.00,10.00,placed,2026-02-16,A
O20260216-001145,C033935,2026-02-14T13:04:27,DE,EUR,gift_card,7.99,0.00,paid,2026-02-16,A
O20260216-001146,C018452,2026-02-12T19:36:30,US,USD,card,2.99,0.00,placed,2026-02-16,A
O20260216-001147,C012302,2026-02-11T09:42:31,SE,SEK,klarna,2.99,0.00,shipped,2026-02-16,
O20260216-001148,C008501,2026-02-16T01:26:23,SE,SEK,card,0.00,0.00,shipped,2026-02-16,
O20260216-001149,C000128,2026-02-16T00:40:18,NL,EUR,card,2.99,0.00,paid,2026-02-16,
O20260216-001150,C024012,2026-02-14T23:29:36,SE,SEK,klarna,2.99,0.00,delivered,2026-02-16,B
O20260216-001151,C008383,2026-02-11T07:38:22,DE,EUR,gift_card,7.99,0.00,placed,2026-02-16,
O20260216-001152,C024758,2026-02-16T22:33:51,NL,EUR,gift_card,7.99,10.00,delivered,2026-02-16,C
O20260216-001153,C028702,2026-02-14T02:13:32,NL,EUR,gift_card,7.99,0.00,paid,2026-02-16,A
O20260216-001154,C039746,2026-02-12T02:34:36,DE,EUR,paypal,7.99,0.00,placed,2026-02-16,legacy
O20260216-001155,C033206,2026-02-13T07:02:17,SE,SEK,klarna,0.00,15.00,shipped,2026-02-16,
O20260216-001156,C022386,2026-02-11T16:26:59,SE,SEK,card,7.99,0.00,shipped,2026-02-16,legacy
O20260216-001157,C035295,2026-02-12T21:01:31,US,USD,gift_card,4.99,0.00,paid,2026-02-16,B
O20260216-001158,C007009,2026-02-14T15:51:20,GB,GBP,klarna,2.99,15.00,placed,2026-02-16,legacy
O20260216-001159,C021319,2026-02-15T21:25:46,FR,EUR,paypal,0.00,5.00,shipped,2026-02-16,
O20260216-001160,C039384,2026-02-15T07:37:11,SE,SEK,gift_card,0.00,15.00,shipped,2026-02-16,legacy
O20260216-001161,C002038,2026-02-13T07:33:20,SE,SEK,gift_card,7.99,0.00,paid,2026-02-16,legacy
O20260216-001162,C030688,2026-02-11T02:49:22,US,USD,paypal,7.99,15.00,shipped,2026-02-16,C
O20260216-001163,C003616,2026-02-11T11:22:43,DE,EUR,klarna,4.99,0.00,shipped,2026-02-16,B
O20260216-001164,C018509,2026-02-16T14:48:58,SE,SEK,gift_card,7.99,10.00,cancelled,2026-02-16,
O20260216-001165,C035262,2026-02-12T05:41:45,FR,EUR,paypal,0.00,0.00,placed,2026-02-16,
O20260216-001166,C009165,2026-02-11T21:00:59,NL,EUR,klarna,0.00,15.00,shipped,2026-02-16,A
O20260216-001167,C004460,2026-02-16T05:18:25,NL,EUR,card,7.99,5.00,delivered,2026-02-16,A
O20260216-001168,C001024,2026-02-14T03:56:01,FR,EUR,klarna,7.99,10.00,delivered,2026-02-16,B
O20260216-001169,C034198,2026-02-13T08:17:09,US,USD,gift_card,2.99,5.00,shipped,2026-02-16,C
O20260216-001170,C003886,2026-02-11T08:36:35,NL,EUR,gift_card,7.99,0.00,placed,2026-02-16,legacy
O20260216-001171,C007699,2026-02-12T14:29:49,US,USD,card,2.99,0.00,paid,2026-02-16,B
O20260216-001172,C030360,2026-02-16T22:18:42,SE,SEK,klarna,2.99,0.00,delivered,2026-02-16,A
O20260216-001173,C008822,2026-02-14T12:42:27,DE,EUR,gift_card,4.99,15.00,placed,2026-02-16,
O20260216-001174,C003739,2026-02-14T07:32:06,DE,EUR,gift_card,7.99,15.00,cancelled,2026-02-16,C
O20260216-001175,C032782,2026-02-12T18:09:16,GB,GBP,gift_card,2.99,5.00,delivered,2026-02-16,C
O20260216-001176,C018515,2026-02-12T03:06:59,US,USD,paypal,0.00,0.00,cancelled,2026-02-16,legacy
O20260216-001177,C018902,2026-02-15T04:15:05,NL,EUR,klarna,4.99,10.00,shipped,2026-02-16,legacy
O20260216-001178,C033431,2026-02-16T05:29:23,US,USD,card,7.99,0.00,placed,2026-02-16,B
O20260216-001179,C017776,2026-02-15T14:17:12,DE,EUR,paypal,4.99,10.00,delivered,2026-02-16,C
