order_line_id,order_id,product_id,quantity,unit_price,line_discount_amount,line_ts
L20260217-0003157,O20260217-001226,P00082,1,141.76,3.00,2026-02-10T07:15:17
L20260217-0003158,O20260217-001226,P00090,1,34.54,1.50,2026-02-10T07:27:48
L20260217-0003159,O20260217-001226,P00078,2,203.66,0.00,2026-02-11T16:49:23
L20260217-0003160,O20260217-001227,P00108,1,188.64,0.00,2026-02-10T10:03:16
L20260217-0003161,O20260217-001227,P00001,3,124.15,0.00,2026-02-17T02:58:47
L20260217-0003162,O20260217-001228,P00067,1,109.86,5.00,2026-02-10T08:41:01
L20260217-0003163,O20260217-001229,P00022,3,70.70,0.00,2026-02-12T01:38:22
L20260217-0003164,O20260217-001229,P00062,3,71.15,0.00,2026-02-16T16:17:28
L20260217-0003165,O20260217-001229,P00094,1,184.89,3.00,2026-02-17T12:13:47
L20260217-0003166,O20260217-001230,P00037,1,162.77,3.00,2026-02-16T19:22:55
L20260217-0003167,O20260217-001230,P00035,1,122.53,3.00,2026-02-10T16:41:57
L20260217-0003168,O20260217-001231,P00066,3,10.75,0.00,2026-02-14T02:48:07
L20260217-0003169,O20260217-001232,P00086,1,41.51,3.00,2026-02-12T19:08:56
L20260217-0003170,O20260217-001232,P00071,1,129.32,0.00,2026-02-14T02:11:21
L20260217-0003171,O20260217-001233,P00063,2,96.72,0.00,2026-02-17T22:45:53
L20260217-0003172,O20260217-001233,P00028,3,263.53,1.50,2026-02-16T13:11:44
L20260217-0003173,O20260217-001233,P00059,1,6.15,1.50,2026-02-14T08:50:11
L20260217-0003174,O20260217-001233,P00064,2,62.69,0.00,2026-02-14T10:41:31
L20260217-0003175,O20260217-001234,P00090,2,34.54,1.50,2026-02-16T21:57:19
L20260217-0003176,O20260217-001234,P00093,1,184.63,0.00,2026-02-13T05:02:28
L20260217-0003177,O20260217-001235,P00115,2,138.97,1.50,2026-02-12T20:32:29
L20260217-0003178,O20260217-001235,P00009,3,17.27,5.00,2026-02-15T10:03:55
L20260217-0003179,O20260217-001236,P00073,1,35.38,1.50,2026-02-17T18:23:22
L20260217-0003180,O20260217-001236,P00089,3,221.76,3.00,2026-02-14T12:18:42
L20260217-0003181,O20260217-001236,P00101,1,276.64,3.00,2026-02-10T18:22:29
L20260217-0003182,O20260217-001237,P00029,3,87.92,0.00,2026-02-16T04:37:09
L20260217-0003183,O20260217-001237,P00011,1,51.47,1.50,2026-02-16T21:56:40
