order_id,customer_id,order_ts,country,currency,payment_method,source_file_date
O20260217-001226,C038614,2026-02-17T10:18:22,SE,SEK,card,2026-02-17
O20260217-001227,C036080,2026-02-15T09:02:20,SE,SEK,card,2026-02-17
O20260217-001228,C019035,2026-02-14T04:55:42,DE,EUR,gift_card,2026-02-17
O20260217-001229,C015355,2026-02-16T01:49:48,FR,EUR,gift_card,2026-02-17
O20260217-001230,C012764,2026-02-12T11:39:30,SE,SEK,klarna,2026-02-17
O20260217-001231,C033016,2026-02-16T23:45:07,DE,EUR,gift_card,2026-02-17
O20260217-001232,C032034,2026-02-12T10:40:30,FR,EUR,paypal,2026-02-17
O20260217-001233,C016224,2026-02-17T18:59:30,NL,EUR,gift_card,2026-02-17
O20260217-001234,C016205,2026-02-14T12:26:01,GB,GBP,gift_card,2026-02-17
O20260217-001235,C000730,2026-02-17T21:41:18,SE,SEK,klarna,2026-02-17
O20260217-001236,C009208,2026-02-13T12:10:39,GB,GBP,card,2026-02-17
O20260217-001237,C015160,2026-02-12T05:44:09,FR,EUR,gift_card,2026-02-17
O20260217-001238,C010377,2026-02-15T09:24:15,FR,EUR,card,2026-02-17
O20260217-001239,C005139,2026-02-12T11:27:31,GB,GBP,card,2026-02-17
O20260217-001240,C013324,2026-02-13T17:53:49,SE,SEK,gift_card,2026-02-17
O20260217-001241,C005935,2026-02-12T18:50:54,FR,EUR,gift_card,2026-02-17
O20260217-001242,C000469,2026-02-14T10:45:20,SE,SEK,paypal,2026-02-17
O20260217-001243,C025683,2026-02-15T19:40:30,GB,GBP,paypal,2026-02-17
O20260217-001244,C024312,2026-02-17T14:47:44,FR,EUR,card,2026-02-17
O20260217-001245,C026788,2026-02-13T13:28:11,US,USD,card,2026-02-17
O20260217-001246,C025437,2026-02-13T07:35:28,SE,SEK,card,2026-02-17
O20260217-001247,C014706,2026-02-14T18:56:52,SE,SEK,paypal,2026-02-17
O20260217-001248,C020328,2026-02-17T07:30:06,DE,EUR,gift_card,2026-02-17
O20260217-001249,C012598,2026-02-13T01:53:33,GB,GBP,klarna,2026-02-17
O20260217-001250,C017093,2026-02-12T16:13:55,FR,EUR,gift_card,2026-02-17
O20260217-001251,C013039,2026-02-13T12:27:21,DE,EUR,gift_card,2026-02-17
O20260217-001252,C024340,2026-02-15T18:22:28,NL,EUR,paypal,2026-02-17
O20260217-001253,C020871,2026-02-12T20:42:56,US,USD,gift_card,2026-02-17
O20260217-001254,C019246,2026-02-17T05:21:44,US,USD,card,2026-02-17
O20260217-001255,C034643,2026-02-14T04:13:21,SE,SEK,gift_card,2026-02-17
O20260217-001256,C009764,2026-02-17T16:01:09,GB,GBP,klarna,2026-02-17
O20260217-001257,C024239,2026-02-17T14:47:59,US,USD,klarna,2026-02-17
O20260217-001258,C000903,2026-02-13T21:07:27,NL,EUR,card,2026-02-17
O20260217-001259,C025062,2026-02-14T02:14:41,GB,GBP,klarna,2026-02-17
O20260217-001260,C023351,2026-02-17T01:02:55,GB,GBP,klarna,2026-02-17
O20260217-001261,C036290,2026-02-13T04:08:40,US,USD,gift_card,2026-02-17
O20260217-001262,C002434,2026-02-12T12:19:38,FR,EUR,klarna,2026-02-17
O20260217-001263,C022826,2026-02-12T22:54:57,GB,GBP,card,2026-02-17
O20260217-001264,C014257,2026-02-14T09:31:08,FR,EUR,paypal,2026-02-17
O20260217-001265,C006376,2026-02-14T01:33:46,FR,EUR,paypal,2026-02-17
O20260217-001266,C012058,2026-02-15T08:41:40,SE,SEK,gift_card,2026-02-17
O20260217-001267,C002663,2026-02-12T01:16:22,US,USD,paypal,2026-02-17
O20260217-001268,C027337,2026-02-14T20:10:53,FR,EUR,klarna,2026-02-17
